product_id,product_name,unit,first_sale,last_sale,active_sales_days,total_quantity,mean_positive_quantity,median_positive_quantity,max_positive_quantity,history_days,active_ratio,days_since_last_sale,segment
12185595,POLONEZ FUME HINDI GOGUS KG,KG,2023-01-01,2026-07-18,421,142.356,0.3381377672209026,0.27,1.246,1295,0.3250965250965251,3,intermittent
12185596,POLONEZ FUME PILIC GOGUS KG,KG,2023-01-02,2026-07-18,225,78.738,0.3499466666666667,0.31,1.566,1294,0.17387944358578053,3,intermittent
12198775,$A.IPEK KAVURMA 100 G (HAZIR DILIM),ADT,2025-12-27,2026-04-05,58,280.0,4.827586206896552,2.0,35.0,100,0.58,107,possibly_inactive
12219442,A.IPEK SUCUK DANA TEKLI FERMENTE KG,KG,2023-01-02,2026-05-09,136,77.448,0.5694705882352941,0.475,2.356,1224,0.1111111111111111,73,intermittent
12219445,$A.IPEK SUCUK DANA BURGER 210 G,ADT,2023-01-11,2024-01-11,11,11.0,1.0,1.0,1.0,366,0.030054644808743168,922,possibly_inactive
12224300,$ERSAN SALAM HINDI 100 G (HAZIR DILIM),ADT,2023-11-04,2024-01-13,6,8.0,1.3333333333333333,1.0,2.0,71,0.08450704225352113,920,possibly_inactive
12224815,$ERSAN SALAM HINDI ETLI  KG,KG,2023-01-07,2023-05-01,2,0.794,0.397,0.397,0.456,115,0.017391304347826087,1177,possibly_inactive
12225394,$POLONEZ SUCUK FERMENTE 240  G,ADT,2023-04-06,2024-11-13,62,76.0,1.2258064516129032,1.0,4.0,588,0.1054421768707483,615,possibly_inactive
12285327,$POLONEZ SOSIS DANA FRANKFURTER KG,KG,2023-01-08,2024-06-14,49,26.59,0.5426530612244898,0.372,1.862,524,0.09351145038167939,767,possibly_inactive
12285328,$POLONEZ SOSIS DANA BRATWURST KG,KG,2023-01-02,2023-09-21,27,11.024000000000001,0.4082962962962963,0.304,1.596,263,0.10266159695817491,1034,possibly_inactive
12319354,POLONEZ SALAM DANA MORTADELLA KG,KG,2023-01-01,2026-07-21,145,30.27,0.20875862068965517,0.17,1.128,1298,0.11171032357473036,0,intermittent
12319367,POLONEZ JAMBON HINDI KG,KG,2023-01-29,2026-07-17,168,43.922,0.26144047619047617,0.23399999999999999,1.33,1266,0.13270142180094788,4,intermittent
12319368,POLONEZ KURU ET HINDI KG,KG,2023-01-08,2026-01-29,89,25.316,0.28444943820224716,0.242,0.868,1118,0.07960644007155634,173,possibly_inactive
12322200,POLONEZ CHEF SUCUK HINDI 750 G,ADT,2023-01-08,2024-12-20,49,56.0,1.1428571428571428,1.0,2.0,713,0.06872370266479663,578,possibly_inactive
12322879,POLONEZ CHEF SALAM DANA DILIMLI 300 G,ADT,2023-01-02,2024-08-18,41,53.0,1.2926829268292683,1.0,10.0,595,0.06890756302521009,702,possibly_inactive
12323201,$LEZITA FARMELIA DOGAL PILIC K.BUT KG,KG,2026-05-28,2026-05-28,1,0.144,0.144,0.144,0.144,1,1.0,54,new_short_history
