date,temperature_mean_c,temperature_max_c,precipitation_mm,snowfall_cm,cloud_cover_pct,wind_max_kmh,solar_radiation_mj_m2
2019-11-24,13.4,17.3,0.0,0.0,38.0,6.8,7.66
2019-11-25,13.5,18.1,3.1,0.0,94.0,8.3,5.25
2019-11-26,14.7,17.1,5.7,0.0,91.0,9.4,5.67
2019-11-27,13.0,13.9,4.9,0.0,88.0,6.2,3.07
2019-11-28,13.8,18.8,0.0,0.0,56.0,11.5,8.1
2019-11-29,16.1,18.5,11.2,0.0,67.0,15.9,5.12
2019-11-30,14.3,20.1,3.4,0.0,56.0,10.5,7.98
2019-12-01,10.5,14.1,19.4,0.0,94.0,11.5,1.71
2019-12-02,8.5,12.8,0.0,0.0,41.0,7.8,8.79
2019-12-03,9.1,13.5,0.0,0.0,53.0,6.0,8.46
2019-12-04,7.8,9.2,17.3,0.0,95.0,13.2,0.97
2019-12-05,7.2,10.2,0.0,0.0,59.0,12.5,4.71
2019-12-06,5.7,11.4,0.0,0.0,1.0,8.4,9.09
2019-12-07,6.2,11.0,0.3,0.0,28.0,8.2,8.6
2019-12-08,9.2,10.8,1.9,0.0,86.0,7.1,3.29
2019-12-09,8.2,12.0,0.0,0.0,33.0,6.4,7.33
2019-12-10,8.4,13.8,0.0,0.0,3.0,7.8,8.66
2019-12-11,7.7,12.4,1.6,0.0,77.0,11.0,5.83
2019-12-12,10.2,13.2,1.4,0.0,98.0,7.3,4.9
2019-12-13,11.3,15.2,2.7,0.0,68.0,6.8,7.02
2019-12-14,13.0,19.2,0.4,0.0,48.0,11.4,8.07
2019-12-15,11.5,15.1,0.0,0.0,66.0,8.2,4.82
2019-12-16,9.2,16.1,0.0,0.0,33.0,8.5,8.23
2019-12-17,9.0,16.7,0.0,0.0,4.0,8.1,8.56
2019-12-18,9.6,17.2,0.0,0.0,0.0,7.8,8.65
2019-12-19,9.7,16.5,0.0,0.0,24.0,6.8,8.56
2019-12-20,9.2,16.2,0.0,0.0,91.0,7.3,7.26
2019-12-21,12.0,17.9,0.0,0.0,36.0,13.7,7.11
2019-12-22,16.5,20.7,0.0,0.0,69.0,16.5,7.94
2019-12-23,14.4,16.3,0.1,0.0,89.0,12.6,5.34
